name,category,review_count,address,rate
자금성,중식,999,경기 시흥시 마유로 415 역전프라자,4.26
에스프레소플래닛,디저트,999,경기 시흥시 마유로418번길 10 롯데시네마 시화점,4.59
스타벅스 시화로데오점,디저트,999,경기 시흥시 중심상가2길 20-5,4.49
파리바게뜨 시화정왕점,한식,999,경기 시흥시 중심상가로 199 지성프라자,4.45
메가MGC커피 정왕역점,디저트,999,경기 시흥시 마유로418번길 10 1층 메가커피,4.48
버거킹 시흥정왕점,한식,999,경기 시흥시 중심상가로 201-11,4.43
써브웨이 시흥정왕점,한식,999,경기 시흥시 중심상가로 195 수창빌딩,4.43
파리바게뜨 정왕역점,한식,999,경기 시흥시 역전로 270,4.38
메가MGC커피 시화로데오점,디저트,999,경기 시흥시 중심상가2길 22 1층 메가커피,4.43
롯데리아 시흥정왕점,한식,999,경기 시흥시 정왕대로 220 우리메디칼센타,4.39
노브랜드버거 시흥정왕점,한식,999,경기 시흥시 정왕대로 230 제일프라자 1층 101-1호,4.44
맘스터치 49로데오점,한식,999,경기 시흥시 중심상가3길 10,4.39
마라힐링 시흥점,중식,999,경기 시흥시 정왕대로 230,4.5
함돈,한식,999,경기 시흥시 중심상가3길 31-1 101호~102호,4.91
맥도날드 시화점,한식,999,경기 시흥시 정왕대로 210 이마트 시화점,4.38
배스킨라빈스 시화성담스퀘어점,한식,999,경기 시흥시 정왕대로 210,4.5
빽다방 시흥정왕로데오점,디저트,891,경기 시흥시 중심상가2길 22 로즈프라자 1층,4.4
샤브린,한식,873,경기 시흥시 중심상가2길 22 203호,
롯데리아시흥정왕역점,한식,857,경기 시흥시 마유로418번길 10,4.33
배스킨라빈스 시흥정왕역,한식,829,경기 시흥시 마유로 416 월드프라자,4.47
뚜레쥬르 시화점,한식,814,경기 시흥시 중심상가4길 12,4.25
명동칼국수 시화점,중식,797,경기 시흥시 중심상가2길 22 로즈프라자 202호 명동칼국수,4.33
살살녹소 시흥점,한식,792,경기 시흥시 역전로290번길 7 (정왕역 1번 출구에서 오른쪽으로 265m),4.53
공차 시화로데오점,한식,779,경기 시흥시 중심상가2길 20-13 102호,4.44
참나무누룽닭 시흥본점,한식,754,경기 시흥시 중심상가3길 31-1 103호~105호,4.71
신마포갈매기 정왕로데오점,한식,754,경기 시흥시 중심상가3길 31 금영프라자,4.55
푸딩김밥 정왕동점,한식,661,경기 시흥시 중심상가4길 18,4.25
정남진한우곰탕,한식,646,경기 시흥시 다솜마을2길 7,4.45
한방전주콩나물국밥 정왕점,한식,644,경기 시흥시 오동마을로6번길 2,4.25
팔각도 시흥정왕로데오점,한식,638,경기 시흥시 중심상가3길 26 1층,
스시오야붕,일식,632,경기 시흥시 마유로 416 월드프라자 1F 111호 스시오야붕,4.47
쥬씨&차얌 시흥정왕점,한식,578,경기 시흥시 중심상가2길 22,4.45
무봉리토종순대국 시화정왕점,한식,544,경기 시흥시 다솜마을2길 5,4.31
니뽕내뽕 시흥정왕점,중식,543,경기 시흥시 중심상가3길 9 청진프라자 2층 니뽕내뽕,4.51
메차쿠차 정왕점,일식,539,경기 시흥시 정왕대로 230 제일프라자,4.19
빽다방 정왕역점,디저트,531,경기 시흥시 마유로418번길 10 104호,4.55
와플대학 시화로데오 캠퍼스,디저트,507,경기 시흥시 중심상가3길 9,4.45
라라감자탕본점,한식,472,경기 시흥시 중심상가4길 26,4.35
고향참우마을,한식,464,경기 시흥시 마유로446번길 5,4.32
선경반점,중식,462,경기 시흥시 역전로 219 하나빌딩,4.47
카페더피치,디저트,442,경기 시흥시 정왕대로233번길 19-1 카페더피치,4.78
역전한우곱창 정왕역점,한식,438,경기 시흥시 오동마을로6번안길 12,4.78
양푼이국수,한식,430,경기 시흥시 다솜마을2길 15,4.48
인생극장 정왕점,한식,428,경기 시흥시 오동마을로 17,4.38
인생극장 정왕점,한식,428,경기 시흥시 오동마을로 17,4.38
호아빈오리진 시화점,한식,422,경기 시흥시 중심상가2길 20-13 107호,4.41
던킨 시흥정왕,한식,409,경기 시흥시 정왕대로 230 1층,
한솥도시락 시화중심상가점,한식,403,경기 시흥시 중심상가3길 23 101호,4.35
투썸플레이스 시흥정왕점,디저트,396,경기 시흥시 중심상가4길 16-1,4.45
이디야커피 정왕역점,디저트,395,경기 시흥시 마유로418번길 18 1층 110호 111호,4.44
유가네닭갈비 정왕점,한식,388,경기 시흥시 중심상가로 193 2층 유가네닭갈비 정왕점,4.45
천하일미김밥 정왕역점,한식,386,경기 시흥시 역전로 270,4.29
텀브커피 시흥정왕역점,디저트,383,경기 시흥시 마유로418번길 18 정왕프라자 114호,4.58
서울냉면,한식,373,경기 시흥시 다솜마을2길 5-2,4.2
모박사부대찌개 시화점,한식,366,경기 시흥시 마유로 416 월드프라자,4.26
카페드코코,디저트,340,경기 시흥시 역전로 310,4.43
박가부대 시흥정왕점,한식,332,경기 시흥시 중심상가3길 15-1 명보프라자(중심상가1길 13),4.35
육쌈냉면 시흥점,한식,329,경기 시흥시 중심상가로 192 상록빌딩 201호,4.31
